discounted_price,full_price,name,name_kor,brand,ranking,photo,link
US$39.20,US$56.00,Torriden Dive-In Soothing Cream 100ml Double Pack (+Soothing Cream 20ml+Serum 20ml),,Torriden,27,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA250228408
,,Torriden Solid In Ceramide Lip Essence 11mL 1+1,,Torriden,28,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA220213584
US$39.05,US$71.00,ISOI Brightening Serum 20ml Double Pack (+Eye & Wrinkle Patch 1 Set),,ISOI,29,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA250329413
,,ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN 50ml Set,,ROUND LAB,30,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA210004685
US$19.84,US$30.00,[Limited] SKINFOOD Carrot Carotene Calming Water Pad Special Set (60P+10P+Carrot Mask Sheet 1P),,SKINFOOD,31,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA230518596
US$30.40,US$49.00,[TOY STORY EDITION] MEDIHEAL Madecassoside Blemish Repair Serum 40ml*2ea (+Pouch),,MEDIHEAL,32,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA250228580
US$9.01,US$13.00,BRINGGREEN Bamboo Hyalu Lip Essence Double Pack,,BRINGGREEN,33,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA240523573
US$7.49,US$8.00,Olive Young Care Plus Scar Cover Spot Patch 102 Count,,CAREPLUS,34,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA230719560
US$39.29,US$46.00,BIODANCE Hydro Cera-nol Real Deep Mask Sheet 7ea Set (+Bio Collagen Mask Sheet 1ea),,BIODANCE,35,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA250329267
US$39.30,US$74.00,BRINGGREEN Zinc Teca Blemish Serum 50ml + Refill 25ml (+Tea Tree Pads 20P+Pad Case),,BRINGGREEN,36,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA250228437
US$24.00,US$32.00,Torriden Dive In Soothing Cream 100mL Special Set (+20mL),,Torriden,37,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA230920408
US$13.50,US$27.00,MEDIHEAL Madecassoside Essential Mask Sheet Blemish Repair 10ea Set (+1ea) (OY-Exclusive),,MEDIHEAL,38,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA240824996
,,d'Alba Waterful Tone Up Sun Cream Purple 50mL Duo Set,,d'Alba,39,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA240222109
US$46.06,US$48.00,[Teenieping EDITION] goodal Green Tangerine Vita-C Dark Spot Care Serum 50ml Refill Set (+Pouch),,goodal,40,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA250228423
US$27.75,US$37.00,HANYUL Pure Artemisia Cleansing Pack Foam 120mL,,HANYUL,41,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA240423051
US$20.00,US$40.00,Torriden Dive-In Low Molecule Hyaluronic Acid Mask Sheet 10ea,,Torriden,42,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA211012131
US$36.44,US$50.00,[TWEETY EDITION] INNISFREE Vitamin C Green Tea Enzyme Brightening Serum 30ml Refill Set (+TWEETY Pouch),,INNISFREE,43,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA250329153
US$37.98,US$46.00,UNOVE Silk Oil Essence 70mL Tender Bloom Double Pack,,UNOVE,44,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA220916168
US$39.68,US$73.00,PHYSIOGEL DMT Facial Cream 100mL Double Set,,PHYSIOGEL,45,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA250329167
US$12.46,US$14.00,colorgram Nude Blur Tint,,colorgram,46,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA240925708
US$35.42,US$81.00,PHYSIOGEL DMT Regenerative Cream 100ml Set (+Toner 200ml),,PHYSIOGEL,47,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA250329168
US$9.00,US$10.00,WAKEMAKE Any-Proof Eyeliner 1+1 Set,,WAKEMAKE,48,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA210610901
US$36.00,US$48.00,CLIO Kill Cover Mesh Glow Essential Cushion 15g*2ea Set (+Dew Cheek),,CLIO,49,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA250228712
US$21.26,US$22.00,CLIO Kill Lash Mascara 1+1 Set,,CLIO,50,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA210001463
US$19.63,US$26.00,Hince True Dimension Balm 10g,,hince,51,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA210004856
US$23.31,US$40.00,Anua Heartleaf Pore Control Cleansing Oil 200mL Double Set,,Anua,52,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA240523476
US$19.49,US$23.00,Arencia Fresh Green Rice Mochi Cleanser 120g Set (+Rosehip Cleanser 15g),,Arencia,53,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA241227085
